delivery_id,delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delivery_time_hours,expected_time_hours,delayed,delivery_status,delivery_rating,delivery_cost,distance_km_normalized,package_weight_kg_normalized,delivery_cost_normalized
250.99,delhivery,automobile parts,bike,same day,west,clear,297.0,46.96,8,8,no,delivered,3,1632.7206,0.9996592844974448,0.947594677584442,1.0
250.99,xpressbees,cosmetics,ev van,express,central,cold,89.6,47.39,2,3,no,delivered,5,640.17,0.29301533219761494,0.9563971340839303,0.35425097843067493
250.99,shadowfax,groceries,truck,two day,east,rainy,273.5,26.89,10,16,no,delivered,4,1448.17,0.9195911413969337,0.5367451381780962,0.8799321975322649
250.99,dhl,electronics,ev van,same day,east,cold,269.7,12.69,6,8,no,delivered,3,1486.57,0.9066439522998296,0.24605936540429885,0.9049150673509543
250.99,dhl,clothing,van,two day,north,foggy,256.7,37.02,9,16,no,delivered,4,1394.56,0.862350936967632,0.744114636642784,0.8450537691213289
250.99,amazon logistics,documents,ev bike,express,west,rainy,48.4,33.15,4,2,yes,delayed,3,391.45,0.1526405451448041,0.6648925281473899,0.19243484870920535
250.99,delhivery,groceries,scooter,same day,central,clear,198.3,43.79,6,8,no,delivered,3,1222.87,0.6633730834752982,0.882702149437052,0.7333530160179229
250.99,xpressbees,fragile items,van,same day,north,cold,114.6,42.63,4,8,no,delivered,3,800.89,0.3781942078364565,0.8589559877175025,0.45881469815098136
250.99,blue dart,clothing,van,same day,south,hot,142.4,14.06,5,8,no,delivered,5,854.18,0.4729131175468484,0.27410440122824975,0.49348493598009485
250.99,delhivery,pharmacy,truck,same day,east,foggy,47.1,29.28,3,8,no,delivered,5,423.34,0.14821124361158433,0.5856704196519958,0.2131823413789451
250.99,fedex,groceries,scooter,same day,east,cold,293.2,22.05,5,8,no,delivered,4,1632.15,0.9867120954003408,0.4376663254861822,0.9996287701687878
250.99,ecom express,electronics,truck,two day,east,cold,80.4,46.48,3,16,no,delivered,5,541.44,0.2616695059625213,0.9377686796315249,0.290017677982779
250.99,xpressbees,pharmacy,ev van,two day,north,rainy,257.7,20.56,8,16,no,delivered,4,1350.18,0.8657580919931857,0.407164790174002,0.8161803378048332
250.99,xpressbees,cosmetics,bike,express,east,stormy,19.0,3.36,6,2,yes,failed,1,155.08,0.0524701873935264,0.055066530194472864,0.03865357425494446
250.99,xpressbees,automobile parts,ev bike,two day,east,stormy,237.9,24.59,12,16,no,delivered,3,1263.27,0.7982964224872232,0.48966223132036846,0.7596370769730025
250.99,amazon logistics,furniture,ev van,express,north,hot,239.3,11.67,8,6,yes,delayed,3,1281.51,0.8030664395229984,0.22517911975435004,0.77150394013688
250.99,fedex,documents,bike,standard,west,stormy,79.0,0.73,10,24,no,delivered,5,397.19,0.25689948892674613,0.0012282497441146352,0.19616926727064488
250.99,blue dart,fragile items,ev bike,standard,central,rainy,170.7,45.62,11,24,no,delivered,5,990.36,0.569335604770017,0.9201637666325485,0.582083040456895
250.99,amazon logistics,documents,van,same day,north,rainy,90.0,33.7,4,8,no,delivered,3,651.1,0.29437819420783645,0.6761514841351075,0.36136198799104674
250.99,fedex,cosmetics,truck,express,north,rainy,64.0,6.03,7,3,yes,failed,2,388.09,0.20579216354344124,0.10972364380757421,0.19024884760007005
250.99,fedex,automobile parts,scooter,two day,east,foggy,185.9,19.1,6,16,no,delivered,4,986.8,0.6211243611584327,0.3772773797338792,0.5797669202341206
250.99,dhl,electronics,scooter,two day,west,stormy,217.9,14.08,9,16,no,delivered,4,1131.74,0.73015332197615,0.27451381780962125,0.6740642418883093
250.99,blue dart,automobile parts,scooter,same day,north,cold,214.1,40.85,6,8,no,delivered,5,1293.05,0.717206132879046,0.822517911975435,0.7790118129938507
250.99,ecom express,clothing,bike,standard,central,clear,251.7,34.9,8,24,no,delivered,4,1363.2,0.8453151618398638,0.7007164790174001,0.8246510921027326
250.99,amazon logistics,furniture,van,standard,east,foggy,214.9,5.67,7,24,no,delivered,5,1091.51,0.719931856899489,0.10235414534288638,0.647890782179823
250.99,shadowfax,documents,ev van,two day,north,stormy,115.4,0.67,6,16,no,delivered,4,578.59,0.3809199318568995,0.0,0.31418730334122463
250.99,dhl,clothing,ev bike,express,east,foggy,293.8,41.03,9,7,yes,delayed,3,1632.7206,0.9887563884156729,0.8262026612077789,1.0
250.99,amazon logistics,cosmetics,scooter,standard,east,clear,286.8,46.67,8,24,no,delivered,3,1574.01,0.9649063032367974,0.9416581371545547,0.9618031438339283
250.99,fedex,furniture,truck,express,south,hot,136.1,48.1,3,4,no,delivered,5,874.8,0.45144804088586027,0.9709314227226202,0.5069002165962765
250.99,dhl,furniture,bike,two day,east,rainy,291.4,6.12,13,16,no,delivered,5,1475.36,0.9805792163543441,0.11156601842374617,0.8976218910314878
250.99,fedex,furniture,bike,standard,south,hot,295.0,19.68,9,24,no,delivered,5,1534.04,0.9928449744463375,0.389150460593654,0.9357988389731726
250.99,ekart,cosmetics,truck,same day,central,rainy,223.3,6.29,10,8,yes,failed,1,1235.37,0.7485519591141397,0.1150460593654043,0.7414854606203609
250.99,delhivery,automobile parts,scooter,express,south,hot,242.5,46.73,10,6,yes,failed,1,1402.69,0.81396933560477,0.9428863868986692,0.8503431110907546
250.99,fedex,furniture,ev bike,two day,central,rainy,35.1,22.72,8,16,no,delivered,5,243.66,0.10732538330494037,0.4513817809621289,0.09628332968566083
250.99,amazon logistics,clothing,bike,express,central,stormy,81.8,45.51,5,3,yes,delayed,2,595.53,0.2664395229982964,0.917911975435005,0.3252083922664485
250.99,delhivery,documents,bike,same day,east,clear,37.6,22.81,3,8,no,delivered,4,356.43,0.11584327086882454,0.45322415557830087,0.16965099191101518
250.99,amazon logistics,furniture,ev bike,express,north,rainy,46.8,4.72,5,2,yes,delayed,2,298.16,0.14718909710391823,0.08290685772773797,0.13174078815229037
250.99,amazon logistics,electronics,scooter,same day,central,hot,233.4,18.0,5,8,no,delivered,5,1321.0,0.7829642248722317,0.3547594677584442,0.797195959124902
250.99,ekart,documents,bike,standard,east,rainy,62.2,48.58,7,24,no,delivered,3,456.74,0.19965928449744466,0.9807574206755372,0.23491223335665934
250.99,shadowfax,clothing,ev bike,standard,south,foggy,114.0,43.85,6,24,no,delivered,4,701.55,0.37614991482112436,0.8839303991811668,0.3941845344064863
250.99,blue dart,automobile parts,ev bike,same day,north,foggy,131.5,25.79,6,8,no,delivered,5,834.87,0.43577512776831345,0.5142272262026611,0.48092193555824875
